lat,lng,city,state,date,specs
39.60677889999999,75.83327179999999,Elkton,MD,3/6/17,"Large 40 ft rectangular object, large white beams of light in each corner shining down, quietly flying 100 ft up just above the trees."
47.4234599,120.3103494,Wenatchee,WA,3/6/17,"Obj. spotted in sky red and blue and bright white.  Stat., not moving at all. ((NUFORC Note:  Possible sighting of Sirius?  Anon.  PD))"
32.3643098,88.703656,Meridian,MS,3/6/17,What I saw zipped across the sky so fast; it was diamond in shape.
37.63909719999999,120.9968782,Modesto,CA,3/6/17,We seen in the sky three red lights we thought oh probably military doing excercises but they lined up then the one on top flew hecka f
26.1224386,80.13731740000001,Ft.+Lauderdale,FL,3/6/17,Amazing.
30.4879678,90.86148779999999,Walker,LA,3/6/17,My daughter and I were coming home from my son's baseball game and as we crossed the overpass heading into town we noticed 3 lights in
44.0316013,70.1043704,Lisbon,ME,3/6/17,"A bright light that was stationary, then split into 2 lights, and faded away."
41.2306979,73.064036,Milford,CT,3/6/17,"((HOAX??)) 5 silver saucers seen by 3 witnesses in Milford, CT.  ((anonymous report))"
42.7653662,71.46756599999999,Nashua,NH,3/5/17,Me and a friend saw 3 orbits in the sky in a quiet Neighborhood. Now we assumed is was plans because there was a airport under them. Bu
42.73481020000001,71.6581267,Brookline,NH,3/5/17,Flashing light orb with accompanying line of lights; visible for 15 minutes before disappearing.
61.2180556,149.9002778,Anchorage,AK,3/5/17,White flashing orb-like object.  ((NUFORC Note:  Possible sighting of Venus??  PD))
40.81232050000001,73.0784429,Holbrook,NY,3/5/17,Stationary teardrop shaped light.  ((NUFORC Note:  Sighting of Venus??  PD))
49.8811655,96.6233317,Anola+(Canada),MB,3/5/17,"Witnessed 2 black spheres overhead, treetop height, traveled north.  Photos shows more than two."
40.0942664,75.9113306,Honeybrook,PA,3/5/17,"3 white spheres drifting, twirling, and zooming out of sight."
34.2819461,118.4389719,San+Fernando,CA,3/5/17,"My son and I were playing catch in the backyard when my 8 year old son said, &quot;Look what is that in the air.&quot;"
40.174405,74.5228916,Upper+Freehold+Township,NJ,3/5/17,Saw extra bright thing in the air at 3:04 am that did very erratic movements with laser like lines and ended up in different position.
40.44062479999999,79.9958864,Pittsburgh,PA,3/4/17,((HOAX??))  Two strange red lights.  ((anonymous report))
36.0318578,84.027655,Powell,TN,3/4/17,"White starlike UFO over Powell.  ((NUFORC Note:  Possible sighting of the star, Sirius??  PD))((anonymous report))"
43.5445959,96.73110340000001,Sioux+Falls,SD,3/4/17,White sphere traveling at extremely hight rate of speed toward the ground before curving up into the sky and disappearing with a flash.
45.5204982,109.4429444,Absarokee,MT,3/4/17,Strange bright white light hovering.  ((NUFORC Note:  Sighting of Venus??  PD))
30.6265697,81.46085599999999,Amelia+Island,FL,3/4/17,((HOAX??))  Shape shifting triangle craft with glow zoomed by our balcony.  ((anonymous report))
31.0404625,84.87909110000001,Donaldsonville,GA,3/4/17,"High speed orange light observed from NE of Donaldsonville, GA, to SW."
37.4137536,79.14224639999999,Lynchburg,VA,3/4/17,Filmed Dimond shape object in different spots in the sky.  ((NUFORC Note:  Possible sighting of Venus??  PD))
43.7570196,71.6881528,Plymouth,NH,3/4/17,There was a very large and bright object in the sky straight ahead of us (west).  ((NUFORC Note:  Sighting of Venus.  PD))
44.2780432,88.27205029999999,Kaukauna,WI,3/4/17,"A white glow in the sky very low with a haze around it, very odd, observed by 2 over NE WI.  ((NUFORC Note:  Sighting of Venus?  PD))"
37.4137536,79.14224639999999,Lynchburg,VA,3/4/17,"((HOAX??))  Red ball with fire over Lynchburg, Va.  ((anonymous report))"
45.2869936,69.5011619,Monson,ME,3/4/17,I didn't see an object but there a low flying helicopter with a spotlight was seen along with other aircraft
43.450301,80.48319169999999,Kitchener+(Canada),ON,3/4/17,"Two bright lights spotted near the Big Dipper, fading from sight as the moved together.  ((anonymous report))"
41.49932,81.6943605,Cleveland,OH,3/4/17,White cylindrical shaped craft hovering motionless above downtown Cleveland.  Have video and pics.
41.0393413,96.3683157,Ashland,NE,3/4/17,Driving on I-80. We look up and see a bright diamond shape object like a star fly away into darkness. ((anonymous report))
60.4877778,151.0583332,Soldotna,AK,3/4/17,"Bone-rattling sonic boom like noise that did not &quot;fly by,&quot; but ascended directly upward, no visible craft seen. ((anonymous report))"
